Token Code  ->  Position in ST   
3  ->  0
38  ->  0
1  ->  (97, 0)
26  ->  0
14  ->  0
38  ->  0
31  ->  0
32  ->  0
37  ->  0
3  ->  0
38  ->  0
1  ->  (98, 0)
26  ->  0
38  ->  0
14  ->  0
31  ->  0
32  ->  0
37  ->  0
3  ->  0
38  ->  0
1  ->  (99, 0)
26  ->  0
38  ->  0
14  ->  0
38  ->  0
31  ->  0
32  ->  0
37  ->  0
9  ->  0
31  ->  0
1  ->  (97, 0)
23  ->  0
1  ->  (98, 0)
38  ->  0
28  ->  0
38  ->  0
1  ->  (97, 0)
23  ->  0
1  ->  (99, 0)
32  ->  0
35  ->  0
38  ->  0
15  ->  0
31  ->  0
0  ->  (5, 0)
32  ->  0
37  ->  0
36  ->  0
11  ->  0
31  ->  0
1  ->  (98, 0)
23  ->  0
1  ->  (97, 0)
38  ->  0
28  ->  0
38  ->  0
1  ->  (98, 0)
23  ->  0
1  ->  (99, 0)
32  ->  0
35  ->  0
38  ->  0
15  ->  0
31  ->  0
0  ->  (6, 0)
32  ->  0
37  ->  0
36  ->  0
10  ->  0
35  ->  0
38  ->  0
15  ->  0
31  ->  0
0  ->  (7, 0)
32  ->  0
37  ->  0
36  ->  0
