Token Code  ->  Position in ST   
3  ->  0
38  ->  0
1  ->  (97, 0)
37  ->  0
1  ->  (97, 0)
26  ->  0
14  ->  0
31  ->  0
32  ->  0
37  ->  0
3  ->  0
38  ->  0
1  ->  (98, 0)
37  ->  0
1  ->  (98, 0)
26  ->  0
14  ->  0
31  ->  0
32  ->  0
37  ->  0
9  ->  0
31  ->  0
1  ->  (97, 0)
20  ->  0
17  ->  0
0  ->  (50, 0)
25  ->  0
0  ->  (48, 0)
38  ->  0
29  ->  0
38  ->  0
1  ->  (98, 0)
20  ->  0
0  ->  (50, 0)
25  ->  0
0  ->  (48, 0)
32  ->  0
35  ->  0
38  ->  0
15  ->  0
31  ->  0
0  ->  (48, 1)
32  ->  0
37  ->  0
36  ->  0
10  ->  0
35  ->  0
38  ->  0
3  ->  0
38  ->  0
1  ->  (99, 0)
37  ->  0
38  ->  0
1  ->  (99, 0)
26  ->  0
31  ->  0
1  ->  (97, 0)
16  ->  0
1  ->  (98, 0)
32  ->  0
19  ->  0
0  ->  (50, 0)
37  ->  0
38  ->  0
15  ->  0
31  ->  0
0  ->  (47, 0)
32  ->  0
37  ->  0
38  ->  0
15  ->  0
31  ->  0
1  ->  (99, 0)
32  ->  0
37  ->  0
36  ->  0
